submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
03/03/2021,Montana,100351,95256.0,5095.0,193,5095.0,1373,1373.0,0.0,1,0.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Michigan,693656,629627.0,64029.0,1685,309.0,16694,15702.0,992.0,11,1.0,03/04/2021 12:00:00 AM,Agree,Agree
03/03/2021,Virginia,580108,456462.0,123646.0,1549,665.0,9326,7993.0,1333.0,383,64.0,03/03/2021 12:00:00 AM,Agree,Agree
03/03/2021,Nebraska,202610,,,389,0.0,2091,,,7,0.0,03/05/2021 12:00:00 AM,Not agree,Not agree
03/03/2021,Maryland,383956,,,786,0.0,8419,8215.0,204.0,11,0.0,03/05/2021 12:00:00 AM,,Agree
03/03/2021,Wisconsin,619087,565131.0,53956.0,780,241.0,7069,6458.0,611.0,19,1.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Arizona,820579,765156.0,55423.0,1284,169.0,16089,14176.0,1913.0,29,11.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Missouri,553096,,,625,215.0,8597,,,16,0.0,03/05/2021 12:00:00 AM,Not agree,Not agree
03/03/2021,Vermont,14421,,,201,1.0,204,,,0,0.0,03/05/2021 12:00:00 AM,Not agree,Not agree
03/03/2021,New Mexico,185898,,,356,0.0,3637,,,13,0.0,03/05/2021 12:00:00 AM,,Not agree
03/03/2021,Indiana,664475,,,774,0.0,12598,12207.0,391.0,11,1.0,03/03/2021 12:00:00 AM,Not agree,Agree
03/03/2021,Washington,341335,,,1013,165.0,5012,,,24,0.0,03/03/2021 12:00:00 AM,,
03/03/2021,North Dakota,100067,94735.0,5332.0,0,0.0,1448,,,0,0.0,03/04/2021 03:08:33 PM,Agree,Not agree
03/03/2021,Kansas,295109,239401.0,55708.0,807,209.0,4816,,,72,23.0,03/04/2021 03:08:33 PM,Agree,
03/03/2021,Tennessee,770357,646203.0,124154.0,1544,557.0,11436,9195.0,2241.0,15,1.0,03/02/2021 12:00:00 AM,Agree,Agree
03/03/2021,Mississippi,297963,184690.0,113273.0,476,233.0,7057,4911.0,2146.0,9,3.0,03/05/2021 12:00:00 AM,Agree,Agree
03/03/2021,Georgia,1014542,823008.0,191534.0,2735,1209.0,17625,15349.0,2276.0,145,5.0,03/04/2021 03:08:33 PM,Agree,Agree
03/03/2021,Oklahoma,434316,343434.0,90882.0,394,97.0,6951,5914.0,1037.0,14,3.0,03/04/2021 12:00:00 AM,Agree,Agree
03/03/2021,Iowa,337686,,,624,142.0,5501,,,3,3.0,03/04/2021 03:08:33 PM,Not agree,Not agree
03/03/2021,Hawaii,27549,,,17,0.0,438,,,2,0.0,03/04/2021 03:08:33 PM,Not agree,Not agree
03/03/2021,Florida,1891409,,,6129,1611.0,32429,,,92,10.0,03/03/2021 12:00:00 AM,Not agree,Not agree
03/04/2021,New Mexico,186156,,,258,0.0,3652,,,15,0.0,03/06/2021 12:00:00 AM,,Not agree
03/04/2021,Florida,1897351,,,5942,1530.0,32494,,,65,6.0,03/04/2021 12:00:00 AM,Not agree,Not agree
03/04/2021,South Dakota,113065,,,232,94.0,1896,1538.0,358.0,3,0.0,03/05/2021 04:11:33 PM,,Agree
03/04/2021,Arkansas,323756,,,403,97.0,5273,,,12,1.0,03/05/2021 04:11:33 PM,Not agree,Not agree
03/04/2021,Oklahoma,434723,343741.0,90982.0,407,100.0,6965,5927.0,1038.0,14,1.0,03/05/2021 12:00:00 AM,Agree,Agree
03/04/2021,Tennessee,771651,647080.0,124571.0,1294,417.0,11459,9215.0,2244.0,23,3.0,03/03/2021 12:00:00 AM,Agree,Agree
03/04/2021,West Virginia,132677,106040.0,26637.0,261,54.0,2309,,,0,0.0,03/05/2021 04:11:33 PM,Agree,Not agree
03/04/2021,Kansas,295109,239401.0,55708.0,0,0.0,4816,,,0,0.0,03/05/2021 04:11:33 PM,Agree,
03/04/2021,Indiana,665423,,,948,0.0,12629,12238.0,391.0,31,0.0,03/04/2021 12:00:00 AM,Not agree,Agree
03/04/2021,California,3488467,3488467.0,0.0,3504,0.0,52823,52823.0,0.0,394,0.0,03/06/2021 12:00:00 AM,Agree,Agree
03/04/2021,Michigan,695257,630924.0,64333.0,1601,304.0,16711,15719.0,992.0,17,0.0,03/05/2021 12:00:00 AM,Agree,Agree
03/04/2021,Idaho,172587,139871.0,32716.0,299,95.0,1876,1649.0,227.0,0,0.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Rhode Island,121402,,,407,0.0,2532,,,5,0.0,03/04/2021 12:00:00 AM,Not agree,
03/04/2021,Louisiana,432527,,,756,226.0,9686,8986.0,700.0,18,5.0,03/05/2021 04:11:33 PM,Not agree,Agree
03/04/2021,Minnesota,487374,,,940,130.0,6589,6248.0,341.0,14,1.0,03/05/2021 04:11:33 PM,,Agree
03/04/2021,South Carolina,528142,450088.0,78054.0,1390,490.0,8631,,,40,5.0,03/04/2021 12:00:00 AM,Agree,Not agree
03/04/2021,Kentucky,412523,314572.0,97951.0,924,235.0,7082,6292.0,790.0,11,2.0,03/04/2021 12:00:00 AM,Agree,Agree
03/04/2021,Vermont,14536,,,115,1.0,204,,,0,0.0,03/06/2021 12:00:00 AM,Not agree,Not agree
03/04/2021,Wyoming,54685,46328.0,8357.0,69,9.0,682,682.0,0.0,0,0.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Connecticut,284500,264992.0,19508.0,878,84.0,7693,6320.0,1373.0,15,1.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Delaware,88175,83819.0,4356.0,228,29.0,1642,1493.0,149.0,3,0.0,03/06/2021 12:00:00 AM,Agree,Agree
03/04/2021,Nevada,295069,295069.0,0.0,385,0.0,5005,,,18,0.0,03/05/2021 04:11:33 PM,Agree,
03/04/2021,Illinois,1193260,1193260.0,0.0,1740,0.0,22902,20668.0,2234.0,49,7.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Oregon,156673,154953.0,1720.0,386,0.0,2284,2269.0,15.0,32,0.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Missouri,553704,,,608,231.0,8606,,,9,0.0,03/06/2021 12:00:00 AM,Not agree,Not agree
03/04/2021,New Hampshire,76178,,,188,27.0,1178,,,3,1.0,03/05/2021 04:11:33 PM,Not agree,Not agree
03/04/2021,Virginia,581408,457348.0,124060.0,1300,414.0,9357,8018.0,1339.0,31,6.0,03/04/2021 12:00:00 AM,Agree,Agree
03/04/2021,Arizona,821733,766129.0,55604.0,1154,181.0,16185,14264.0,1921.0,96,8.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Montana,100531,95413.0,5118.0,180,23.0,1375,1375.0,0.0,2,0.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Wisconsin,619942,565808.0,54134.0,855,178.0,7082,6470.0,612.0,13,1.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Maryland,384765,,,809,0.0,8431,8227.0,204.0,12,0.0,03/06/2021 12:00:00 AM,,Agree
03/04/2021,Nebraska,202967,,,357,0.0,2092,,,1,0.0,03/06/2021 12:00:00 AM,Not agree,Not agree
03/04/2021,Maine,45241,35647.0,9594.0,199,72.0,704,681.0,23.0,-1,0.0,03/06/2021 12:00:00 AM,Agree,Agree
03/04/2021,New Jersey,802669,712585.0,90084.0,3193,654.0,23491,21094.0,2397.0,42,0.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,North Carolina,859714,754053.0,105661.0,2329,527.0,12407,10972.0,1435.0,21,2.0,03/04/2021 12:00:00 AM,Agree,Agree
03/04/2021,Iowa,338269,,,583,183.0,5536,,,35,35.0,03/05/2021 04:11:33 PM,Not agree,Not agree
03/04/2021,Mississippi,298339,184885.0,113454.0,376,181.0,7062,4912.0,2150.0,5,4.0,03/06/2021 12:00:00 AM,Agree,Agree
03/04/2021,New York,931318,,,3568,0.0,18118,,,26,0.0,03/05/2021 04:11:33 PM,Not agree,Not agree
03/04/2021,Alabama,497685,393195.0,104490.0,844,173.0,10642,8509.0,2133.0,19,7.0,03/04/2021 12:00:00 AM,Agree,Agree
03/04/2021,Colorado,442284,414739.0,27545.0,1287,117.0,5974,5238.0,736.0,4,1.0,03/04/2021 12:00:00 AM,Agree,Agree
03/04/2021,North Dakota,100278,94866.0,5412.0,211,80.0,1448,,,0,0.0,03/05/2021 04:11:33 PM,Agree,Not agree
03/04/2021,Washington,342081,,,746,105.0,5032,,,20,0.0,03/04/2021 12:00:00 AM,,
03/04/2021,Ohio,974480,833772.0,140708.0,1875,605.0,17189,17189.0,0.0,0,0.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Texas,2671442,,,8028,2985.0,46858,,,105,0.0,03/06/2021 12:00:00 AM,Not agree,Not agree
03/04/2021,Massachusetts,586310,554630.0,31680.0,1567,157.0,16384,16053.0,331.0,51,0.0,03/06/2021 12:00:00 AM,Agree,Agree
03/04/2021,Hawaii,27604,,,55,0.0,438,,,0,0.0,03/05/2021 04:11:33 PM,Not agree,Not agree
03/04/2021,Pennsylvania,947771,813704.0,134067.0,3228,913.0,24219,,,50,27.0,03/04/2021 12:00:00 AM,Agree,Not agree
03/04/2021,Alaska,56823,,,127,0.0,326,,,0,0.0,03/04/2021 12:00:00 AM,,
03/04/2021,Utah,373319,373319.0,0.0,611,0.0,1965,1909.0,56.0,10,0.0,03/05/2021 04:11:33 PM,Agree,Agree
03/04/2021,Georgia,1017428,824804.0,192624.0,2886,1090.0,17750,15462.0,2288.0,125,12.0,03/05/2021 04:11:33 PM,Agree,Agree
03/05/2021,Massachusetts,588209,556307.0,31902.0,1899,222.0,16420,16087.0,333.0,36,2.0,03/07/2021 12:00:00 AM,Agree,Agree
03/05/2021,Arkansas,324326,,,570,148.0,5283,,,10,2.0,03/06/2021 03:08:48 PM,Not agree,Not agree
03/05/2021,Hawaii,27655,,,51,0.0,440,,,2,0.0,03/06/2021 03:08:48 PM,Not agree,Not agree
03/05/2021,Colorado,443479,415808.0,27671.0,1195,126.0,5986,5250.0,736.0,12,0.0,03/05/2021 12:00:00 AM,Agree,Agree
03/05/2021,Pennsylvania,950383,815772.0,134611.0,2612,544.0,24262,,,43,-50.0,03/05/2021 12:00:00 AM,Agree,Not agree
03/05/2021,Washington,342922,,,841,156.0,5041,,,9,0.0,03/05/2021 12:00:00 AM,,
03/05/2021,Alabama,498287,393657.0,104630.0,602,140.0,10661,8523.0,2138.0,19,5.0,03/05/2021 12:00:00 AM,Agree,Agree
03/05/2021,Kansas,295861,240153.0,55708.0,752,0.0,4812,,,-4,0.0,03/06/2021 03:08:48 PM,Agree,
03/05/2021,West Virginia,132964,106259.0,26705.0,287,68.0,2318,,,9,0.0,03/06/2021 03:08:48 PM,Agree,Not agree
03/05/2021,Tennessee,773247,648141.0,125106.0,1596,535.0,11501,9248.0,2253.0,42,9.0,03/04/2021 12:00:00 AM,Agree,Agree
03/05/2021,Texas,2678295,,,6853,1790.0,46960,,,102,0.0,03/07/2021 12:00:00 AM,Not agree,Not agree
03/05/2021,Maine,45407,35752.0,9655.0,166,61.0,704,681.0,23.0,0,0.0,03/07/2021 12:00:00 AM,Agree,Agree
03/05/2021,Missouri,554253,,,549,193.0,8611,,,5,0.0,03/07/2021 12:00:00 AM,Not agree,Not agree
03/05/2021,Illinois,1194702,1194702.0,0.0,1442,0.0,22946,20700.0,2246.0,44,12.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Arizona,824009,768185.0,55824.0,2276,220.0,16269,14339.0,1930.0,84,9.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Nevada,295460,295460.0,0.0,391,0.0,5020,,,15,0.0,03/06/2021 03:08:48 PM,Agree,
03/05/2021,Michigan,696947,632258.0,64689.0,1690,356.0,16727,15734.0,993.0,16,1.0,03/06/2021 12:00:00 AM,Agree,Agree
03/05/2021,Vermont,14676,,,140,2.0,205,,,1,0.0,03/07/2021 12:00:00 AM,Not agree,Not agree
03/05/2021,Montana,100656,95509.0,5147.0,125,29.0,1379,1379.0,0.0,4,0.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Oregon,156884,155164.0,1720.0,211,0.0,2293,2278.0,15.0,9,0.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Nebraska,203331,,,364,0.0,2112,,,20,0.0,03/07/2021 12:00:00 AM,Not agree,Not agree
03/05/2021,Wyoming,54764,46397.0,8367.0,79,10.0,682,682.0,0.0,0,0.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Minnesota,488170,,,796,128.0,6602,6261.0,341.0,13,0.0,03/06/2021 03:08:48 PM,,Agree
03/05/2021,South Carolina,529623,451187.0,78436.0,1481,382.0,8668,,,37,4.0,03/05/2021 12:00:00 AM,Agree,Not agree
03/05/2021,North Carolina,861654,755560.0,106094.0,1940,433.0,12424,10987.0,1437.0,17,2.0,03/05/2021 12:00:00 AM,Agree,Agree
03/05/2021,Connecticut,285330,265709.0,19621.0,830,113.0,7704,6327.0,1377.0,11,4.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Virginia,583060,458696.0,124364.0,1652,304.0,9428,8049.0,1379.0,71,40.0,03/05/2021 12:00:00 AM,Agree,Agree
03/05/2021,Louisiana,433045,,,518,154.0,9716,9007.0,709.0,30,9.0,03/06/2021 03:08:48 PM,Not agree,Agree
03/05/2021,New Jersey,806370,715889.0,90481.0,3701,397.0,23521,21124.0,2397.0,30,0.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,Idaho,172827,140013.0,32814.0,240,98.0,1876,1649.0,227.0,0,0.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,New Hampshire,76422,,,244,70.0,1178,,,0,0.0,03/06/2021 03:08:48 PM,Not agree,Not agree
03/05/2021,Maryland,385678,,,913,0.0,8441,8237.0,204.0,10,0.0,03/07/2021 12:00:00 AM,,Agree
03/05/2021,Kentucky,413287,315042.0,98245.0,764,294.0,7093,6300.0,793.0,11,3.0,03/05/2021 12:00:00 AM,Agree,Agree
03/05/2021,Delaware,88392,84030.0,4362.0,217,6.0,1643,1494.0,149.0,1,0.0,03/07/2021 12:00:00 AM,Agree,Agree
03/05/2021,Rhode Island,121764,,,362,0.0,2534,,,2,0.0,03/05/2021 12:00:00 AM,Not agree,
03/05/2021,California,3493126,3493126.0,0.0,4659,0.0,53194,53194.0,0.0,371,0.0,03/07/2021 12:00:00 AM,Agree,Agree
03/05/2021,Wisconsin,620663,566158.0,54505.0,721,371.0,7094,6477.0,617.0,12,5.0,03/06/2021 03:08:48 PM,Agree,Agree
03/05/2021,South Dakota,113229,,,164,36.0,1896,1538.0,358.0,0,0.0,03/06/2021 03:08:48 PM,,Agree
03/05/2021,Indiana,666275,,,852,0.0,12664,12271.0,393.0,35,2.0,03/05/2021 12:00:00 AM,Not agree,Agree
